symbol;code;width;height;area;mass;mass_norm;q1_mass;q1_mass_norm;q2_mass;q2_mass_norm;q3_mass;q3_mass_norm;q4_mass;q4_mass_norm;cx;cy;cx_norm;cy_norm;ix;iy;ix_norm;iy_norm
Ⱔ;U2C24;43.0;52.0;2236.0;763.0;0.3412343470483005;200.0;0.3663003663003663;187.0;0.3269230769230769;195.0;0.35714285714285715;181.0;0.31643356643356646;21.96330275229358;25.437745740498034;0.5229357798165137;0.4987793282450595;171379.79292267363;87126.9724770642;0.08306697369979217;0.06175770862438072
Ⱕ;U2C25;54.0;52.0;2808.0;831.0;0.29594017094017094;117.0;0.16666666666666666;289.0;0.4116809116809117;147.0;0.2094017094017094;278.0;0.396011396011396;30.95066185318893;25.498194945848375;0.5839747519469609;0.4999646067813407;171817.7472924188;136324.97713598073;0.07646458039274115;0.056258336979749364
Ⱖ;U2C26;49.0;50.0;2450.0;1034.0;0.4220408163265306;253.0;0.4216666666666667;286.0;0.4576;245.0;0.4083333333333333;250.0;0.4;24.038684719535784;26.41972920696325;0.5008059316569955;0.5391781470808826;196493.83752417797;134676.45261121856;0.07601308995132611;0.05424740522010838
Ⱗ;U2C27;68.0;52.0;3536.0;1415.0;0.4001696832579186;370.0;0.41855203619909503;346.0;0.3914027149321267;368.0;0.416289592760181;331.0;0.3744343891402715;33.01060070671378;25.274204946996466;0.4926955329360266;0.49557264601953854;341743.6084805654;462362.8409893993;0.08931764706143115;0.07066569885638906
Ⱘ;U2C28;64.0;52.0;3328.0;1489.0;0.44741586538461536;415.0;0.4987980769230769;337.0;0.4050480769230769;414.0;0.49759615384615385;323.0;0.38822115384615385;28.208193418401613;25.33310946944258;0.4477491018793907;0.4967276366557368;335556.7777031565;466503.4600402955;0.0833421366408784;0.07648921846803242
Ⱙ;U2C29;85.0;52.0;4420.0;1679.0;0.37986425339366514;509.0;0.4661172161172161;397.0;0.3550983899821109;402.0;0.36813186813186816;371.0;0.33184257602862255;41.52531268612269;25.356164383561644;0.4943489605490796;0.49717969379532634;325557.01369863015;852836.6742108398;0.07170834060907057;0.07030356050712669
Ⱚ;U2C2A;58.0;52.0;3016.0;1045.0;0.34648541114058357;246.0;0.32625994694960214;249.0;0.3302387267904509;275.0;0.3647214854111406;275.0;0.3647214854111406;28.535885167464116;25.842105263157894;0.5006295643414758;0.5067079463364292;160152.94736842107;237671.90430622007;0.05667766603735068;0.06760916438798083
Ⱛ;U2C2B;38.0;50.0;1900.0;1011.0;0.5321052631578947;286.0;0.6021052631578947;179.0;0.37684210526315787;286.0;0.6021052631578947;260.0;0.5473684210526316;15.380811078140455;25.37190900098912;0.4156975967064988;0.517794061244676;246424.16221562808;93634.38773491593;0.09749719573318619;0.0641382381990048
Ⱜ;U2C2C;16.0;50.0;800.0;351.0;0.43875;40.0;0.2;160.0;0.8;15.0;0.075;136.0;0.68;10.814814814814815;21.25925925925926;0.7209876543209877;0.4338624338624339;83237.4074074074;4266.9629629629635;0.09485744433892582;0.04748667827371532
Ⱝ;U2C2D;45.0;50.0;2250.0;1148.0;0.5102222222222222;294.0;0.5345454545454545;282.0;0.49043478260869566;294.0;0.5345454545454545;278.0;0.4834782608695652;21.605400696864113;24.412020905923345;0.4910318340196389;0.4982045082841499;177302.11411149823;266774.24651567946;0.06177774010853597;0.11475641868442357
Ⱞ;U2C2E;49.0;50.0;2450.0;936.0;0.3820408163265306;261.0;0.435;180.0;0.288;243.0;0.405;252.0;0.4032;22.082264957264957;25.63034188034188;0.46004718660968663;0.5230682016396302;178444.09829059828;167448.66559829062;0.07625816166264884;0.07450984881579373
Ⱟ;U2C2F;26.0;69.0;1794.0;877.0;0.48885172798216275;204.0;0.46153846153846156;204.0;0.46153846153846156;256.0;0.5626373626373626;213.0;0.46813186813186813;12.004561003420752;34.48346636259977;0.4801824401368301;0.5071097994499967;327115.01026225765;70429.98175598631;0.07834345099693697;0.11879859013039733
